"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Траты","4","0","","0"
"0","","0","","2","0","","0"
"0","","0","Таблица трат","7","0","API","0"
"0","","0","Профиль пользователя","3","0","Имя пользователя","0"
"0","","0","Профиль пользователя","2","0","Категории UI","0"
"0","","0","Категории","2","0","","0"
"0","","0","Регистрация","2","0","UI","0"
"0","","0","","2","0","Логаут","0"
"0","","0","Категории","4","0","API","0"
"0","","0","SOAP","2","0","","0"
"0","","0","Регистрация","3","0","KAFKA","0"
"0","","0","Авторизация","2","0","","0"
"0","","0","Добавление траты по api","1","0","","0"
